SH#688360, 德马科技: 在['open', 'high', 'low', 'close', 'volume']列 2023-02-17行 填充了 [2.83100e+01 2.85100e+01 2.78900e+01 2.83700e+01 8.33473e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-02-21行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-02-22行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-02-23行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-02-24行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-02-25行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-02-28行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-01行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-02行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-03行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688131, 皓元医药: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-04行 填充了 [1.78800e+02 1.78800e+02 1.73100e+02 1.73990e+02 3.79611e+05]
SH#688567, 孚能科技: 在['open', 'high', 'low', 'close', 'volume']列 2023-07-26行 填充了 [2.186000e+01 2.207000e+01 2.167000e+01 2.203000e+01 3.222335e+06]
SH#688567, 孚能科技: 在['open', 'high', 'low', 'close', 'volume']列 2023-07-27行 填充了 [2.186000e+01 2.207000e+01 2.167000e+01 2.203000e+01 3.222335e+06]
SH#688567, 孚能科技: 在['open', 'high', 'low', 'close', 'volume']列 2023-07-28行 填充了 [2.186000e+01 2.207000e+01 2.167000e+01 2.203000e+01 3.222335e+06]
SH#688567, 孚能科技: 在['open', 'high', 'low', 'close', 'volume']列 2023-07-31行 填充了 [2.186000e+01 2.207000e+01 2.167000e+01 2.203000e+01 3.222335e+06]
SH#688567, 孚能科技: 在['open', 'high', 'low', 'close', 'volume']列 2023-08-01行 填充了 [2.186000e+01 2.207000e+01 2.167000e+01 2.203000e+01 3.222335e+06]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2023-12-25行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2023-12-26行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2023-12-27行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2023-12-28行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2023-12-29行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2024-01-02行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2024-01-03行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2024-01-04行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2024-01-05行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688337, 普源精电: 在['open', 'high', 'low', 'close', 'volume']列 2024-01-08行 填充了 [6.69700e+01 6.74500e+01 6.50800e+01 6.56300e+01 9.52313e+05]
SH#688272, *ST富吉: 在['open', 'high', 'low', 'close', 'volume']列 2023-04-26行 填充了 [1.81600e+01 1.84000e+01 1.76600e+01 1.80300e+01 8.06207e+05]
SH#688065, 凯赛生物: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-16行 填充了 [7.83100e+01 7.93700e+01 7.79100e+01 7.89900e+01 3.53426e+05]
SH#688065, 凯赛生物: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-19行 填充了 [7.83100e+01 7.93700e+01 7.79100e+01 7.89900e+01 3.53426e+05]
SH#688065, 凯赛生物: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-20行 填充了 [7.83100e+01 7.93700e+01 7.79100e+01 7.89900e+01 3.53426e+05]
SH#688065, 凯赛生物: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-21行 填充了 [7.83100e+01 7.93700e+01 7.79100e+01 7.89900e+01 3.53426e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-05-29行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-05-30行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-05-31行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-01行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-02行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-05行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-06行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-07行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-08行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688536, 思瑞浦: 在['open', 'high', 'low', 'close', 'volume']列 2023-06-09行 填充了 [3.39350e+02 3.42340e+02 3.34270e+02 3.39320e+02 3.69009e+05]
SH#688029, 南微医学: 在['open', 'high', 'low', 'close', 'volume']列 2021-01-06行 填充了 [1.846200e+02 1.859500e+02 1.761300e+02 1.765000e+02 1.187837e+06]
SH#688029, 南微医学: 在['open', 'high', 'low', 'close', 'volume']列 2021-01-07行 填充了 [1.846200e+02 1.859500e+02 1.761300e+02 1.765000e+02 1.187837e+06]
SH#688157, 松井股份: 在['open', 'high', 'low', 'close', 'volume']列 2022-03-09行 填充了 [1.1733e+02 1.1733e+02 1.0930e+02 1.0983e+02 3.8759e+05]
